,Account,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
0,@BBC,0.0,Thu Dec 14 14:00:08 +0000 2017,1.0,0.0,0.0,"🎞🎵🎨 Gospel singer and civil rights activist @MavisStaples reveals her current picks for theatre, music and film. 👉… https://t.co/fNllKUJwMW",1
1,@BBC,0.0,Thu Dec 14 13:30:06 +0000 2017,1.0,0.0,0.0,"🎄 @LiamPayne, @ddlovato &amp; @Camila_Cabello will all present Christmas Day shows on @BBCR1. 👉 https://t.co/1k9h7hNZ3r… https://t.co/FAVRZRPkX1",2
2,@BBC,0.1027,Thu Dec 14 13:03:04 +0000 2017,0.935,0.0,0.065,"❄️⛄️ How cold can it get at work before you can legally go home? https://t.co/RCSDvZZRxg

We were all thinking it... https://t.co/9DWTOhCFL0",3
3,@BBC,0.0,Thu Dec 14 12:46:06 +0000 2017,1.0,0.0,0.0,RT @BBCNewsround: What do the @UKRobotWars house bots do on their day off? Shovel snow of course! ❄ https://t.co/krB7oQIEBR https://t.co/0l…,4
4,@BBC,0.4215,Thu Dec 14 12:45:09 +0000 2017,0.859,0.0,0.141,"RT @BBC6Music: What was your favourite album of 2017? 

Here's Jodie Whittaker (@bbcdoctorwho / @BroadchurchTV) sharing her favourite. #201…",5
5,@BBC,-0.5719,Thu Dec 14 12:30:04 +0000 2017,0.749,0.251,0.0,"The awkward moment when Graham gets the wrong Gallagher brother. 😬

The Graham Norton Show | @BBCOne https://t.co/B7PGlaPmXw",6
6,@BBC,0.0,Thu Dec 14 12:27:47 +0000 2017,1.0,0.0,0.0,"RT @BBCNews: 53 adults, 18 children 💚
#GrenfellTower

https://t.co/0lM54Cvw07 https://t.co/vJAhXktYRe",7
7,@BBC,0.6124,Thu Dec 14 12:25:25 +0000 2017,0.765,0.0,0.235,"RT @BBCR1: 🎶 We're dreaming of a @LondonGrammar Christmas album 🎶

How heavenly is this? 🎄💫 https://t.co/Xh7aHEXCWt",8
8,@BBC,0.7444,Thu Dec 14 12:12:46 +0000 2017,0.762,0.0,0.238,"RT @BBCR1: 🎼 🎻🎶✨

@LondonGrammar + a string quintet is SO heavenly!

Stay tuned for their Christmas Live Lounge cover... https://t.co/a2yVo…",9
9,@BBC,0.7506,Thu Dec 14 12:01:41 +0000 2017,0.748,0.0,0.252,RT @bbcpress: Special event staged at London Palladium in honour of Sir Bruce Forsyth will be aired on @BBCOne: https://t.co/JTbcFk2PXj htt…,10
10,@BBC,0.0,Thu Dec 14 12:00:08 +0000 2017,1.0,0.0,0.0,"He proposed to his wife naked in a vegetable garden... 😳🍆💍

10 Things we learned about @KelseyGrammer from his… https://t.co/novuBDLLSE",11
11,@BBC,0.3182,Thu Dec 14 11:00:09 +0000 2017,0.892,0.0,0.108,"Did you know that the ability for adults to digest milk is a relatively recent genetic mutation?
Here are 3 quirky… https://t.co/q4ivJ3J8Lr",12
12,@BBC,-0.1511,Thu Dec 14 10:00:15 +0000 2017,0.819,0.103,0.078,"The mercury plummeted over the weekend in Scotland, reaching as low as -11.3 degrees at Dalwhinnie!
Here are your p… https://t.co/nHWTU8tAPa",13
13,@BBC,0.0,Thu Dec 14 09:00:06 +0000 2017,1.0,0.0,0.0,How a vertical village can bring a community together. 🌱❤️️ https://t.co/SZvVg2U7EX https://t.co/bwazhnIJxv,14
14,@BBC,0.0,Thu Dec 14 08:40:04 +0000 2017,1.0,0.0,0.0,"'I'm not an eco-warrior, I'm just a normal mum.' 
Chrissy is trying to reduce the amount of plastic her family thro… https://t.co/Cb83chprZk",15
15,@BBC,0.4404,Thu Dec 14 08:20:03 +0000 2017,0.884,0.0,0.116,"The extent with which we use our unconscious mind is enormous – and the more we use it, the better we perform many… https://t.co/HYw72pkMD4",16
16,@BBC,0.4939,Thu Dec 14 08:00:01 +0000 2017,0.814,0.0,0.186,"'As long as I get the strength to do it, I'll carry on.' 💕
Via @BBCStories. https://t.co/K3NBJzFyID",17
17,@BBC,0.0,Thu Dec 14 07:38:04 +0000 2017,1.0,0.0,0.0,"In a quiet corner of northern Europe exists a geopolitical anomaly, where many buildings have an international bord… https://t.co/U0BoEVqWwY",18
18,@BBC,0.0,Wed Dec 13 20:00:10 +0000 2017,1.0,0.0,0.0,London's Euston station will be turned into a shelter for the homeless on Christmas Day. ❤️️🎁… https://t.co/Y834ULzLu5,19
19,@BBC,0.3384,Wed Dec 13 19:31:04 +0000 2017,0.854,0.0,0.146,🐘 Why you must never pee in front of elephants... and more surprising facts. 👉 https://t.co/Bz8ncFjAfa https://t.co/o2vs4NJDK0,20
20,@BBC,0.2263,Wed Dec 13 19:00:02 +0000 2017,0.917,0.0,0.083,"It’s spicy, it's tangy &amp; it'll warm you right up. 🍲😋
Get the full recipe for @Rick_Stein's Sopa Azteca here. 👉… https://t.co/jLcGMawMgO",21
21,@BBC,-0.4215,Wed Dec 13 18:32:04 +0000 2017,0.811,0.189,0.0,Princess Margaret broke all the royal rules long before Prince Harry. 👑 https://t.co/RffK1BgQG0 https://t.co/TMnsg71XDB,22
22,@BBC,0.128,Wed Dec 13 18:00:12 +0000 2017,0.919,0.0,0.081,"Còsagach: A feeling of being snug, sheltered or cosy. 🤗
Scotland could offer visitors a rival to the Danish concept… https://t.co/XlVpqlvaTV",23
23,@BBC,0.0,Wed Dec 13 17:30:01 +0000 2017,1.0,0.0,0.0,"Dwayne Johnson, president, 2020?

The Graham Norton Show | @BBCOne https://t.co/TfDdY43IER",24
24,@BBC,0.8658,Wed Dec 13 17:23:02 +0000 2017,0.65,0.0,0.35,"RT @bbcgenome: #OTD 2006, @StephenMerchant won a British Comedy Award for his role in Extras. Here he is pictured alongside @rickygervais a…",25
25,@BBC,0.0,Wed Dec 13 17:00:14 +0000 2017,1.0,0.0,0.0,"'Tartes of flesh' used to include pork, hard-boiled eggs, cheese, spices, saffron, &amp; sugar in the 1300s. 😬

This is… https://t.co/39MHfYnQ6Y",26
26,@BBC,0.2023,Wed Dec 13 15:49:03 +0000 2017,0.87,0.0,0.13,'Meghan Markle' and 'fidget spinners' top UK Google search for 2017. https://t.co/hYKDDFVfPL https://t.co/YCbpX1K8yC,27
27,@BBC,0.6249,Wed Dec 13 15:39:29 +0000 2017,0.819,0.0,0.181,RT @BBCNewsEnts: Peter Kay fans will be pleased to hear his final 2 Car Share episodes have already been filmed and will be screened next y…,28
28,@BBC,0.7506,Wed Dec 13 15:12:05 +0000 2017,0.738,0.0,0.262,"Whether you're filling hampers or catering for a party, we've got all the biscuit recipes you need for a perfect Ch… https://t.co/9csfsG53Le",29
29,@BBC,-0.25,Wed Dec 13 14:37:03 +0000 2017,0.882,0.118,0.0,This guy made a candy cane pizza and we might need to cancel Christmas. 💈🙅 https://t.co/6DGfL53C2O https://t.co/W0pvpj4V4d,30
30,@BBC,0.5255,Wed Dec 13 14:03:03 +0000 2017,0.804,0.0,0.196,"When cold air meets warm air, ice crystals form six-sided shapes around a speck of dust, creating a snowflake! ❄️
W… https://t.co/NAgUr0xHZq",31
31,@BBC,0.6597,Wed Dec 13 13:30:05 +0000 2017,0.779,0.0,0.221,"Being friends with George Clooney is probably cool enough...
Now it's been revealed he's given $1 million to each o… https://t.co/AK3GUd8UXq",32
32,@BBC,0.0,Wed Dec 13 13:14:21 +0000 2017,1.0,0.0,0.0,RT @bbcthree: PLOT TWIST. #TheApprentice https://t.co/eIpXZy7Jm2,33
33,@BBC,0.6114,Wed Dec 13 13:11:33 +0000 2017,0.75,0.0,0.25,RT @bbccomedy: French and Saunders celebrate 300 years in showbiz! 🙌 @FerriFrump @Dawn_French https://t.co/X8WgKukZ8W,34
34,@BBC,0.7901,Wed Dec 13 13:00:02 +0000 2017,0.731,0.0,0.269,"'It was brilliant to sweep in to a room and say, ""hokey-cokey pig in a pokey, good morning job seekers!""'

Who's ex… https://t.co/Ejnm3jvDOP",35
35,@BBC,0.0,Wed Dec 13 12:30:02 +0000 2017,1.0,0.0,0.0,"This woman is showing people how to turn their food pics into #FoodPorn. 🍩🤤
Via BBC Minute. https://t.co/sScwTTcPuB",36
36,@BBC,0.0,Wed Dec 13 12:27:30 +0000 2017,1.0,0.0,0.0,"RT @BBCR1: ⚡️ @SamSmithWorld got everyone in their feelings with his Christmas cover 😭🎄

https://t.co/Y1B16frQ4p",37
37,@BBC,0.8777,Wed Dec 13 12:21:18 +0000 2017,0.581,0.0,0.419,"RT @BBCR1: How stunning is this? 

@SamSmithWorld covering Have Yourself A Merry Little Christmas is totally perfect. 💫 https://t.co/7rJdEM…",38
38,@BBC,0.9455,Wed Dec 13 12:09:04 +0000 2017,0.567,0.0,0.433,"RT @BBCR1: THAT VOICE 😍

So good to have @SamSmithWorld back in the Live Lounge. One Last Song sounds SO beautiful (and pretty festive, no?…",39
39,@BBC,0.0,Wed Dec 13 12:00:08 +0000 2017,1.0,0.0,0.0,Late Junction has spent the year traversing the outer edges of musical experimentation to find the most interesting… https://t.co/D9YD5pVIDU,40
40,@BBC,0.0,Wed Dec 13 11:52:55 +0000 2017,1.0,0.0,0.0,"RT @bbcmusic: 😎 @Harry_Styles stepped in to host @JKCorden's TV show last night (with 2.5 hours notice!)
👉 https://t.co/KMPl2POLrC https://…",41
41,@BBC,-0.3182,Wed Dec 13 11:42:41 +0000 2017,0.913,0.087,0.0,"RT @BBCTwo: In 2012, Daniel lost both his legs after being run over by a police vehicle.

Since then, he's applied for over 800 jobs... but…",42
42,@BBC,0.5719,Wed Dec 13 10:39:21 +0000 2017,0.802,0.0,0.198,"French and Saunders celebrate 300 years in showbiz. 🙌

Full interview 👉 https://t.co/rompNHRjh8

300 Years of Frenc… https://t.co/kzA69viRu4",43
43,@BBC,-0.296,Wed Dec 13 10:18:11 +0000 2017,0.879,0.121,0.0,"'Rousing.' 'Thrilling.' 'Addictively bold.'
Just a few of the superlatives critics are using to describe the latest… https://t.co/nIKR8Odx8e",44
44,@BBC,-0.6486,Wed Dec 13 09:00:05 +0000 2017,0.823,0.177,0.0,"Coronary heart disease is the biggest killer in the UK, causing almost 74,000 deaths each year. 
💪❤️️  Here are 10… https://t.co/7zMRqir8VH",45
45,@BBC,0.5267,Wed Dec 13 08:40:01 +0000 2017,0.476,0.161,0.363,"Steph's a cheerleading world champion. She's also blind. ✊❤️️
Via @BBCStories. https://t.co/CktGzvfE1P",46
46,@BBC,0.9118,Wed Dec 13 08:20:03 +0000 2017,0.58,0.0,0.42,There's great pleasure in realising that total unknowns can be as brilliant as your favourite recording artists. 🎹🎶… https://t.co/ohcGDgymVJ,47
47,@BBC,0.0,Wed Dec 13 08:00:04 +0000 2017,1.0,0.0,0.0,The 'Godfather of Coral' has identified more than 20% of the world's coral species &amp; transformed our understanding… https://t.co/tRtikV4SbW,48
